timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1658568224016,1700,Cart,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.flipkart.com:443 failed to respond,HomePAge 1-13,text,false,,2985,163,20,20,https://www.flipkart.com/viewcart?exploreMode=true&preference=FLIPKART,1697,0,1482
1658568224016,1698,Cart-0,301,Moved Permanently,HomePAge 1-13,text,true,,392,163,20,20,http://www.flipkart.com/viewcart?exploreMode=true&preference=FLIPKART,1697,0,1482
1658568225714,2,Cart-1,Non HTTP response code: org.apache.http.NoHttpResponseException,Non HTTP response message: www.flipkart.com:443 failed to respond,HomePAge 1-13,text,false,,2593,0,20,20,https://www.flipkart.com/viewcart?exploreMode=true&preference=FLIPKART,0,0,0
1658568220635,5309,HTTP Request,200,OK,HomePAge 1-5,text,true,,10191,358,20,20,https://seller.flipkart.com/sell-online/?utm_source=fkwebsite&utm_medium=websitedirect,1005,0,0
1658568220635,1005,HTTP Request-0,301,Moved Permanently,HomePAge 1-5,text,true,,392,179,20,20,http://seller.flipkart.com/sell-online/?utm_source=fkwebsite&utm_medium=websitedirect,1005,0,0
1658568221641,4303,HTTP Request-1,200,OK,HomePAge 1-5,text,true,,9799,179,20,20,https://seller.flipkart.com/sell-online/?utm_source=fkwebsite&utm_medium=websitedirect,4303,0,0
1658568217923,8054,HTTP Request,200,OK,HomePAge 1-14,text,true,,10191,358,20,20,https://seller.flipkart.com/sell-online/?utm_source=fkwebsite&utm_medium=websitedirect,2778,0,1179
1658568217923,2778,HTTP Request-0,301,Moved Permanently,HomePAge 1-14,text,true,,392,179,20,20,http://seller.flipkart.com/sell-online/?utm_source=fkwebsite&utm_medium=websitedirect,2778,0,1179
1658568220701,5276,HTTP Request-1,200,OK,HomePAge 1-14,text,true,,9799,179,20,20,https://seller.flipkart.com/sell-online/?utm_source=fkwebsite&utm_medium=websitedirect,5276,0,4797
1658568225388,606,HTTP Request,200,OK,HomePAge 1-2,text,true,,10191,358,20,20,https://seller.flipkart.com/sell-online/?utm_source=fkwebsite&utm_medium=websitedirect,280,0,0
1658568225388,280,HTTP Request-0,301,Moved Permanently,HomePAge 1-2,text,true,,392,179,20,20,http://seller.flipkart.com/sell-online/?utm_source=fkwebsite&utm_medium=websitedirect,280,0,0
1658568225668,326,HTTP Request-1,200,OK,HomePAge 1-2,text,true,,9799,179,20,20,https://seller.flipkart.com/sell-online/?utm_source=fkwebsite&utm_medium=websitedirect,326,0,0
1658568221556,4535,Homepage,200,OK,HomePAge 1-7,text,true,,366061,236,20,20,https://www.flipkart.com/,1602,0,0
1658568221556,1602,Homepage-0,301,Moved Permanently,HomePAge 1-7,text,true,,347,118,20,20,http://www.flipkart.com/,1602,0,0
1658568223158,2933,Homepage-1,200,OK,HomePAge 1-7,text,true,,365714,118,20,20,https://www.flipkart.com/,1498,0,0
1658568225467,801,Cart,200,OK,HomePAge 1-8,text,true,,112349,326,20,20,https://www.flipkart.com/viewcart?exploreMode=true&preference=FLIPKART,212,0,0
1658568225467,212,Cart-0,301,Moved Permanently,HomePAge 1-8,text,true,,392,163,20,20,http://www.flipkart.com/viewcart?exploreMode=true&preference=FLIPKART,212,0,0
1658568225680,588,Cart-1,200,OK,HomePAge 1-8,text,true,,111957,163,20,20,https://www.flipkart.com/viewcart?exploreMode=true&preference=FLIPKART,479,0,0
1658568225063,1534,Cart,200,OK,HomePAge 1-12,text,true,,103964,326,20,20,https://www.flipkart.com/viewcart?exploreMode=true&preference=FLIPKART,492,0,0
